chaine,nom film,date de diffusion,2023,nationalité2,rang de diffusion,téléspectateurs (millions),part d'audience (%)
France 5,HEAT,2022-03-18 00:00:00,2022,Etats-Unis,15,951000,"5,6"
France 5,DIABOLO MENTHE,2022-03-25 00:00:00,2022,France,22,944000,"4,6"
France 5,PHILADELPHIA,2022-12-02 00:00:00,2022,Etats-Unis,17,908000,"4,5"
TF1,QU'EST-CE QU'ON A ENCORE FAIT AU BON DIEU,2023-04-03 00:00:00,2022,France,1,7822000,34
TF1,RAID DINGUE,2023-01-30 00:00:00,2022,France,2,6163000,29
TF1,LES BRONZES FONT DU SKI,2023-02-15 00:00:00,2022,France,18,4834000,"21,9"
TF1,ALIBI.COM,2023-02-06 00:00:00,2022,France,3,4815000,"22,1"
TF1,LE DINER DE CONS,2023-06-26 00:00:00,2022,France,10,4810000,"23,7"
TF1,RIEN A DECLARER,2023-05-22 00:00:00,2022,France,5,4803000,"24,9"
TF1,JURASSIC WORLD FALLEN KINGDOM,2023-06-05 00:00:00,2022,Etats-Unis,1,4782000,"24,9"
TF1,LA CHTITE FAMILLE,2023-09-04 00:00:00,2022,France,2,4706000,"23,6"
TF1,SPIDER-MAN FAR FROM HOME,2023-02-13 00:00:00,2022,Etats-Unis,1,4674000,"22,8"
TF1,ON A RETROUVE LA 7E COMPAGNIE,2023-06-30 00:00:00,2022,France,19,4625000,"23,5"
TMC,QU EST-CE QU ON A FAIT AU BON DIEU,2022-05-25 00:00:00,2022,France,5,1796000,"8,7"
TMC,LES TUCHE,2022-04-13 00:00:00,2022,France,5,1530000,"7,2"
TMC,LE DINER DE CONS,2022-10-19 00:00:00,2022,France,11,1488000,"7,4"
TMC,LES TUCHE 2 LE REVE AMERICAIN,2022-04-24 00:00:00,2022,France,4,1446000,"6,6"
TMC,HARRY POTTER ET LES RELIQUES DE LA MORT ,2022-12-29 00:00:00,2022,Europe,7,1445000,"7,7"
TMC,THOR RAGNAROK,2022-02-07 00:00:00,2022,Etats-Unis,2,1387000,"7,8"
TMC,LES VACANCES DE DUCOBU,2022-07-20 00:00:00,2022,France,10,1359000,"7,2"
TMC,QU EST CE QU ON A ENCORE FAIT AU BON DIEU,2022-09-22 00:00:00,2022,France,2,1318000,"6,8"
TMC,CAPTAIN AMERICA CIVIL WAR,2022-02-21 00:00:00,2022,Etats-Unis,4,1297000,"6,8"
TMC,MECHANIC RESURRECTION,2022-04-11 00:00:00,2022,Etats-Unis,5,1254000,"6,4"
TFX,MOI MOCHE ET MECHANT 3,2022-11-10 00:00:00,2022,Etats-Unis,5,1056000,"4,9"
TFX,WASABI,2022-02-22 00:00:00,2022,France,15,1008000,"4,2"
TFX,INSPECTEUR LABAVURE,2022-08-17 00:00:00,2022,France,25,949000,"5,2"
TFX,MISSION IMPOSSIBLE II,2022-08-30 00:00:00,2022,Etats-Unis,15,943000,5
TFX,SPEED,2022-04-29 00:00:00,2022,Etats-Unis,20,940000,"4,7"
TFX,LA STRATEGIE ENDER,2022-05-24 00:00:00,2022,Etats-Unis,2,932000,"4,4"
TFX,LE TRANSPORTEUR 3,2022-11-24 00:00:00,2022,France,12,915000,"4,5"
TFX,LE TRANSPORTEUR II,2022-04-19 00:00:00,2022,France,12,914000,"3,9"
TFX,LE TRANSPORTEUR II,2022-11-17 00:00:00,2022,France,13,894000,"4,3"
TFX,MOI MOCHE ET MECHANT 2,2022-11-03 00:00:00,2022,Etats-Unis,8,874000,"4,3"
TF1 Séries Films,L ARME FATALE 4,2022-03-31 00:00:00,2022,Etats-Unis,17,1110000,"5,5"
TF1 Séries Films,SISSI FACE A SON DESTIN,2022-01-09 00:00:00,2022,Europe,27,939000,"4,5"
TF1 Séries Films,L ARME FATALE,2022-03-10 00:00:00,2022,Etats-Unis,21,878000,"3,9"
TF1 Séries Films,CATWOMAN,2022-03-03 00:00:00,2022,Etats-Unis,9,869000,"3,9"
TF1 Séries Films,SISSI IMPERATRICE,2022-01-02 00:00:00,2022,Europe,26,844000,"3,8"
TF1 Séries Films,LE FUGITIF,2022-06-13 00:00:00,2022,Etats-Unis,18,815000,4
TF1 Séries Films,I ROBOT,2022-01-13 00:00:00,2022,Etats-Unis,19,771000,"3,4"
TF1 Séries Films,L ARME FATALE II,2022-03-17 00:00:00,2022,Etats-Unis,22,758000,"3,5"
TF1 Séries Films,SEVEN,2022-10-16 00:00:00,2022,Etats-Unis,14,754000,4
TF1 Séries Films,TANGO ET CASH,2022-04-28 00:00:00,2022,Etats-Unis,16,740000,"3,4"
M6,ASTERIX LE SECRET DE LA POTION MAGIQUE,2022-12-26 00:00:00,2022,France,1,3629000,"17,4"
M6,LE ROI LION,2022-04-17 00:00:00,2022,Etats-Unis,1,3321000,"16,2"
M6,ASTERIX ET OBELIX AU SERVICE DE SA MAJESTE,2022-04-10 00:00:00,2022,France,4,3224000,"15,2"
M6,A FOND,2022-02-28 00:00:00,2022,France,2,2971000,"13,6"
M6,JOYEUSE RETRAITE,2022-07-15 00:00:00,2022,France,1,2964000,18
M6,KINGSMAN SERVICES SECRETS,2022-01-03 00:00:00,2022,Europe,3,2814000,"13,9"
M6,RATATOUILLE,2022-12-30 00:00:00,2022,Etats-Unis,8,2744000,"13,3"
M6,ASTERIX LE DOMAINE DES DIEUX,2022-12-19 00:00:00,2022,France,5,2588000,"11,4"
M6,TOP GUN,2022-05-19 00:00:00,2022,Etats-Unis,27,2578000,"11,5"
M6,LE LIVRE DE LA JUNGLE ,2022-12-23 00:00:00,2022,Etats-Unis,3,2491000,"12,6"
W9,DIE HARD 4 - RETOUR EN ENFER,2022-12-05 00:00:00,2022,Etats-Unis,13,1619000,"8,9"
W9,LA CHUTE DE LONDRES,2022-01-24 00:00:00,2022,Etats-Unis,4,1525000,"6,6"
W9,SISTER ACT ACTE 2,2022-01-20 00:00:00,2022,Etats-Unis,19,1472000,"6,7"
W9,58 MINUTES POUR VIVRE,2022-11-21 00:00:00,2022,Etats-Unis,20,1433000,"7,3"
W9,DIE HARD 4 - RETOUR EN ENFER,2022-03-28 00:00:00,2022,Etats-Unis,12,1427000,7
W9,UNE JOURNEE EN ENFER,2022-11-28 00:00:00,2022,Etats-Unis,21,1414000,"7,2"
W9,DIE HARD BELLE JOURNEE POUR MOURIR,2022-04-04 00:00:00,2022,Etats-Unis,7,1409000,"6,3"
W9,JOYEUSE RETRAITE,2022-09-18 00:00:00,2022,France,2,1317000,"6,1"
